ParkID,Park,Score,Facility Type,Facility Name,Address,State,Zipcode,Square Feet,Perimeter Length(ft),Acres,Longitude,Latitude
51,24th Street-York Mini Park,0.927,Basketball Court,Larsen Basketball Courts,19th Ave & Vicente,CA,94116,"6,939.12",352.45,0.16,-122.47610361,37.73980229
45,Youngblood Coleman Playground,0.785,Basketball Court,Argonne: Basketball,18th Ave  &  Geary Blvd,CA,94121,"4,209.02",268.01,0.10,-122.47793647,37.77928896
82,Pine Lake Park,0.6920000000000001,Basketball Court,Mission PG Basketball Court,19th & Linda,CA,94110,"5,620.73",309.76,0.13,-122.42257415,37.75924429
18,Brooks Park,1.0,Ball Field,Rolph ball fields,Potrero & Cesar Chavez Street,CA,94110,"84,562.76","1,302.17",1.94,-122.40613959999999,37.74951809
23,Juri Commons,0.7390000000000001,Ball Field,James Lang Ball Fields,1016 Laguna,CA,94102,"98,547.66","1,395.62",2.26,-122.42465985,37.78097316
187,Parque Ninos Unidos,0.9059999999999999,Clubhouse,Louis Sutter Clubhouse,Wayland & Yale St,CA,94134,"2,487.21",176.85,0.06,-122.41437425,37.72238701
39,Silver Terrace Playground,0.802,Ball Field,West Sunset Ball Fields,3223 Ortega St & 39th Ave,CA,94116,"222,407.85","3,633.31",5.11,-122.49865249999999,37.74905447
188,Palou-Phelps Park,0.787,Clubhouse,Julius Kahn Clubhouse,West Pacific Ave & Spruce St,CA,94118,"1,443.45",163.63,0.03,-122.45373436,37.79124744
93,Sunset Playground,0.773,Basketball Court,Rochambeau Basketball Courts,24th Ave & Lake,CA,94121,"11,519.33",640.90,0.26,-122.48460259999999,37.78477532
165,Hunters Point Recreation Center,0.639,Clubhouse,Fulton Clubhouse,27th Ave & Fulton St,CA,94121,"1,324.90",192.82,0.03,-122.48689338,37.77354959
84,Parkside Square,0.873,Basketball Court,Noe Valley Courts Basketball Courts,24th & Douglass St,CA,94114,"4,366.99",273.78,0.10,-122.43903453,37.75155961
166,Julius Kahn Playground,0.9620000000000001,Clubhouse,Gilman Clubhouse,Gilman Ave & Griffith,CA,94124,"3,479.97",236.52,0.08,-122.38832992,37.71682579
107,Laurel Hill Playground,0.915,Restroom,Alamo: Restrooms,Hayes & Steiner,CA,94117,479.59,96.29,0.01,-122.43430821,37.776068
108,Bush-Broderick Mini Park,0.8440000000000001,Restroom,Alta: Restrooms,Jackson & Steiner,CA,94115,213.12,60.73,0.00,-122.43815497,37.7912412
124,Raymond Kimbell Playground,0.754,Restroom,GGP2 Big Rec Bathroom,Stanyan & Great Hwy,CA,94117,"1,854.90",185.78,0.04,-122.46536323,37.76853068
86,Carl Larsen Park,0.813,Basketball Court,Ocean View Basketball Courts,Capitol & Montana St,CA,94112,"5,572.02",311.98,0.13,-122.45670775,37.71633478
72,Noe Valley Courts,0.862,Basketball Court,Kelloch Velasco Basketball Courts,Kelloch & Velasco St,CA,94134,"8,317.78",532.85,0.19,-122.41281406,37.70844554
149,Telegraph Hill/Pioneer Park,0.66,Restroom,States Street Restrooms,States St,CA,94114,298.62,80.85,0.01,-122.43856985,37.76376486
147,Washington Square,0.611,Restroom,Portsmouth Square Bathrooms,Washington & Walter Lum Pl,CA,94111,858.30,133.31,0.02,-122.40560121,37.79460147
204,Broadway Tunnel East Mini Park,1.0,Clubhouse,Portsmouth Square Clubhouse,Washington & Kearny St,CA,94111,"2,363.62",209.84,0.05,-122.40527879999999,37.79502267
152,Chestnut-Kearny Open Space,0.8,Restroom,Marina Green Bathrooms West,Marina Blvd,CA,94123,"1,089.90",172.86,0.03,-122.44826807,37.80575328
