,Unnamed: 0,id,name,rating,address,city,lat,long,zip code
215,215,o-honey-dublin,O'Honey,4.0,3862 Fallon Rd,Dublin,37.7049564521021,-121.85153792414101,94568
216,216,the-mix-creamery-dublin-2,The Mix Creamery,4.0,6601 Dublin Blvd,Dublin,37.704380239639896,-121.911554932594,94588
217,217,tasty-pot-dublin,Tasty Pot,4.0,4288 Dublin Blvd,Dublin,37.704566,-121.87545,94588
218,218,ohana-hawaiian-bbq-of-pleasanton-pleasanton,Ohana Hawaiian BBQ of Pleasanton,3.0,5410 Sunol Blvd,Pleasanton,37.65223,-121.8786,94566
219,219,99-ranch-market-pleasanton,99 Ranch Market,3.5,4299 Rosewood Dr,Pleasanton,37.69956,-121.87326000000002,94588
220,220,menchies-frozen-yogurt-dublin,Menchie's  Frozen Yogurt,4.0,3742 Fallon Rd,Dublin,37.7037210589332,-121.851480491459,94550
221,221,blossom-bee-dublin,Blossom Bee,4.0,7335 Village Pkwy,Dublin,37.710858467095,-121.926419734955,94588
222,222,berry-delight-pleasanton,Berry Delight,3.0,1008 Stoneridge Mall Rd,Pleasanton,37.6946294,-121.93156299999998,94588
223,223,new-thai-bistro-pleasanton-2,New Thai Bistro,4.5,4301 D Valley Ave,Pleasanton,37.67718,-121.87578,94566
224,224,tutti-frutti-frozen-yogurt-dublin,Tutti Frutti Frozen Yogurt,3.0,4930 Dublin Blvd,Dublin,37.7040256307881,-121.88532839154,94588
225,225,kee-wah-bakery-dublin,Kee Wah Bakery,4.0,4288 Dublin Blvd,Dublin,37.7045783996582,-121.87580871582001,94588
226,226,blush-organic-frozen-yogurt-dublin,Blush Organic Frozen Yogurt,4.0,4640 Tassajara Rd,Dublin,37.70801,-121.8731,94568
227,227,koi-palace-dublin,Koi Palace,3.5,Ulferts Ctr,Dublin,37.70463674821379,-121.87602639198299,94588
228,228,berry-and-berry-yogurt-livermore,Berry & Berry Yogurt,2.5,2774 Livermore Outlets Dr,Livermore,37.698050737381,-121.84224866330601,94551
229,229,pho-saigon-city-pleasanton,Pho Saigon City,3.0,4275 Rosewood Dr,Pleasanton,37.6994626368417,-121.873857490718,94588
230,230,yogurtland-dublin,Yogurtland,4.0,6851 Amador Plz Rd,Dublin,37.70584,-121.92709,94568
231,231,lees-sandwiches-dublin-2,Lee's Sandwiches,3.5,4101 Dublin Blvd,Dublin,37.70619,-121.87379,94568
232,232,osaka-ramen-dublin,Osaka Ramen,3.0,4288 Dublin Blvd,Dublin,37.70515,-121.87622,94588
233,233,pho-99-dublin-5,Pho 99,4.0,7459 Amador Valley Blvd,Dublin,37.710269,-121.92861,94588
234,234,tandoori-pizza-dublin,Tandoori Pizza,4.0,4060 Grafton St,Dublin,37.7031417208061,-121.866024709375,94568
235,235,halu-shabu-shabu-dublin,Halu Shabu Shabu,3.0,4288 Dublin Blvd,Dublin,37.7045669555664,-121.875450134277,94588
236,236,amakara-dublin,Amakara,4.0,7222 Regional St,Dublin,37.70506,-121.93487,94588
237,237,pho-saigon-garden-dublin,Pho Saigon Garden,3.5,7265 Regional St,Dublin,37.7056511022749,-121.933658346534,94588
238,238,pho-saigon-noodle-house-san-ramon,Pho Saigon Noodle House,3.5,9150 Alcosta Blvd,San Ramon,37.72938919067379,-121.931442260742,94583
239,239,85-c-bakery-cafe-newark,85°C Bakery Cafe,3.5,35201 Newark Blvd,Newark,37.54772,-122.0466,94560
240,240,blackball-desserts-union-city-union-city,BlackBall Desserts-Union City,3.5,34563 Alvarado Niles Rd,Union City,37.5866448,-122.0201868,94587
